loan_id,loan_number,borrower_name,borrower_industry,amount,currency,interest_rate,term_months,loan_type,status,credit_score,risk_rating,esg_score,geography,purpose,collateral
1,LN-2024-001,Acme Manufacturing Inc,Manufacturing,5000000,USD,0.0425,60,term,active,720,A,7.5,United States,"Equipment purchase and facility expansion","Real estate and equipment"
2,LN-2024-002,Green Energy Solutions,Renewable Energy,10000000,USD,0.038,84,term,active,780,AA,9.2,United States,"Solar farm development","Land and equipment"
3,LN-2024-003,TechStart Innovations,Technology,2500000,USD,0.055,36,term,active,680,BBB,6.8,United States,"Product development and R&D","Intellectual property"
4,LN-2024-004,Global Logistics Corp,Transportation,15000000,USD,0.045,120,term,active,750,A,6.5,United States,"Fleet expansion and warehouse acquisition","Vehicles and real estate"
5,LN-2024-005,Sustainable Farms Co,Agriculture,3000000,USD,0.04,48,term,active,700,A,8.5,United States,"Organic farming expansion","Land and equipment"
6,LN-2024-006,MedTech Devices Inc,Healthcare,8000000,USD,0.042,72,term,active,740,A,7.8,United States,"Medical device manufacturing","Equipment and inventory"
7,LN-2024-007,Retail Excellence LLC,Retail,4500000,USD,0.048,60,revolver,active,690,BBB,5.5,United States,"Working capital and inventory","Inventory and receivables"
8,LN-2024-008,Clean Water Systems,Environmental Services,6000000,USD,0.039,96,term,active,770,AA,9.0,United States,"Water treatment facility","Real estate and equipment"
9,LN-2024-009,Urban Development Group,Real Estate,25000000,USD,0.05,180,term,active,730,A,6.2,United States,"Mixed-use development project","Land and buildings"
10,LN-2024-010,EduTech Platform Inc,Education,3500000,USD,0.052,48,term,active,710,A,7.2,United States,"Online learning platform expansion","Technology assets"
11,LN-2024-011,Coastal Seafood Processing,Food Processing,2000000,USD,0.046,36,term,active,690,BBB,6.8,United States,"Processing facility upgrade","Equipment and inventory"
12,LN-2024-012,NextGen Robotics,Advanced Manufacturing,12000000,USD,0.044,60,term,pending_approval,760,A,7.5,United States,"Robotics R&D and production","Intellectual property and equipment"
13,LN-2024-013,Community Health Centers,Healthcare,5500000,USD,0.041,72,term,active,725,A,8.2,United States,"Medical facility expansion","Real estate"
14,LN-2024-014,Smart Home Solutions,Technology,4000000,USD,0.054,48,term,active,695,BBB,6.5,United States,"IoT device manufacturing","Equipment and inventory"
15,LN-2024-015,Organic Foods Distributor,Food Distribution,3200000,USD,0.047,42,revolver,active,705,A,7.8,United States,"Distribution network expansion","Inventory and vehicles"
16,LN-2024-016,Renewable Materials Inc,Materials,7500000,USD,0.04,84,term,active,745,A,8.5,United States,"Sustainable materials production","Equipment and real estate"
17,LN-2024-017,Financial Advisory Group,Financial Services,1800000,USD,0.051,36,term,active,720,A,6.0,United States,"Office expansion and technology","Real estate and equipment"
18,LN-2024-018,Electric Vehicle Parts,Automotive,9000000,USD,0.043,72,term,active,755,A,8.8,United States,"EV component manufacturing","Equipment"
19,LN-2024-019,Hospitality Excellence,Hospitality,6500000,USD,0.049,96,term,active,715,A,5.8,United States,"Hotel renovation and expansion","Real estate"
20,LN-2024-020,Data Center Ops LLC,Technology Infrastructure,18000000,USD,0.046,120,term,active,765,AA,7.0,United States,"Data center construction","Real estate and equipment"
21,LN-2024-021,Artisan Coffee Roasters,Food & Beverage,1500000,USD,0.053,30,term,active,680,BBB,7.2,United States,"Roasting facility and retail locations","Equipment and real estate"
22,LN-2024-022,Solar Installation Co,Renewable Energy,4800000,USD,0.038,60,term,active,735,A,9.5,United States,"Solar panel installation business","Equipment and vehicles"
23,LN-2024-023,Precision Engineering,Manufacturing,5500000,USD,0.044,48,term,active,710,A,6.5,United States,"CNC equipment and facility","Equipment and real estate"
24,LN-2024-024,Wellness Center Network,Healthcare,4200000,USD,0.042,72,term,active,725,A,7.8,United States,"Wellness facilities expansion","Real estate"
25,LN-2024-025,AgriTech Innovations,Agriculture Technology,3800000,USD,0.041,54,term,pending_approval,740,A,8.2,United States,"Smart farming technology","Intellectual property and equipment"
26,LN-2024-026,Urban Mobility Solutions,Transportation,8500000,USD,0.045,84,term,active,750,A,8.0,United States,"Electric bike share program","Equipment and technology"
27,LN-2024-027,Specialty Chemicals Corp,Chemicals,11000000,USD,0.048,96,term,active,730,A,6.0,United States,"Chemical manufacturing expansion","Real estate and equipment"
28,LN-2024-028,Biodegradable Packaging,Sustainable Packaging,2800000,USD,0.039,42,term,active,720,A,9.0,United States,"Eco-friendly packaging production","Equipment"
29,LN-2024-029,Fitness Equipment Mfg,Sports Equipment,3600000,USD,0.05,48,term,active,700,A,6.8,United States,"Manufacturing facility expansion","Equipment and inventory"
30,LN-2024-030,Cloud Services Provider,Cloud Computing,13000000,USD,0.044,72,term,active,770,AA,7.2,United States,"Infrastructure and data centers","Technology and equipment"
31,LN-2024-031,Sustainable Fashion,Apparel,2400000,USD,0.051,36,term,active,695,BBB,8.5,United States,"Ethical clothing production","Equipment and inventory"
32,LN-2024-032,Dental Practice Network,Healthcare,5000000,USD,0.043,60,term,active,735,A,7.0,United States,"Multi-location dental offices","Real estate and equipment"
33,LN-2024-033,Industrial Automation,Manufacturing Technology,9500000,USD,0.042,84,term,active,760,A,7.5,United States,"Automation systems development","Equipment and IP"
34,LN-2024-034,Craft Brewery Collective,Beverage,1900000,USD,0.052,30,term,active,685,BBB,6.5,United States,"Brewery equipment and taproom","Equipment and real estate"
35,LN-2024-035,Senior Living Facilities,Healthcare Real Estate,22000000,USD,0.047,180,term,active,745,A,7.8,United States,"Senior housing development","Land and buildings"
36,LN-2024-036,Cybersecurity Solutions,Cybersecurity,4500000,USD,0.049,48,term,active,725,A,6.8,United States,"Security platform development","Technology and IP"
37,LN-2024-037,Organic Cosmetics,Personal Care,2100000,USD,0.048,36,term,active,705,A,8.8,United States,"Natural cosmetics production","Equipment and inventory"
38,LN-2024-038,Waste-to-Energy Plant,Energy,16000000,USD,0.041,144,term,pending_approval,755,A,9.2,United States,"Waste conversion facility","Real estate and equipment"
39,LN-2024-039,Mobile App Development,Software,3000000,USD,0.055,42,term,active,710,A,6.5,United States,"App development and marketing","Technology and IP"
40,LN-2024-040,Logistics Automation,Supply Chain Tech,7200000,USD,0.043,60,term,active,740,A,7.2,United States,"Warehouse automation systems","Equipment and software"
41,LN-2024-041,Plant-Based Foods,Food Manufacturing,5800000,USD,0.04,72,term,active,730,A,9.0,United States,"Alternative protein production","Equipment and facility"
42,LN-2024-042,Commercial HVAC,Building Services,3300000,USD,0.047,48,revolver,active,700,A,6.2,United States,"Working capital and equipment","Equipment and receivables"
43,LN-2024-043,Telehealth Platform,Healthcare Technology,6500000,USD,0.042,60,term,active,750,A,7.5,United States,"Telemedicine platform expansion","Technology"
44,LN-2024-044,Boutique Hotel Group,Hospitality,14000000,USD,0.05,120,term,active,735,A,6.8,United States,"Hotel acquisitions and renovations","Real estate"
45,LN-2024-045,3D Printing Services,Advanced Manufacturing,4100000,USD,0.046,54,term,active,715,A,7.0,United States,"Additive manufacturing facility","Equipment"
46,LN-2024-046,Wind Farm Development,Renewable Energy,28000000,USD,0.038,180,term,active,775,AA,9.5,United States,"Wind energy generation","Land and equipment"
47,LN-2024-047,Pet Care Products,Consumer Goods,2700000,USD,0.05,36,term,active,690,BBB,7.2,United States,"Pet product manufacturing","Equipment and inventory"
48,LN-2024-048,Virtual Reality Studio,Entertainment Technology,3900000,USD,0.054,48,term,active,720,A,6.5,United States,"VR content development","Technology and IP"
49,LN-2024-049,Emergency Medical Services,Healthcare Services,5200000,USD,0.044,72,term,active,740,A,7.8,United States,"Ambulance fleet and equipment","Vehicles and equipment"
50,LN-2024-050,Smart Grid Technology,Energy Technology,11500000,USD,0.041,96,term,pending_approval,765,AA,8.5,United States,"Electrical grid modernization","Technology and infrastructure"
